Município;Dose;Total Doses Aplicadas
REGINÓPOLIS;UNICA;82
REGENTE FEIJÓ;UNICA;482
REDENÇÃO DA SERRA;UNICA;86
RANCHARIA;UNICA;727
RAFARD;UNICA;254
QUINTANA;UNICA;152
QUELUZ;UNICA;302
QUEIROZ;UNICA;86
QUATÁ;UNICA;346
QUADRA;UNICA;132
PROMISSÃO;UNICA;1068
PRESIDENTE VENCESLAU;UNICA;970
PRESIDENTE PRUDENTE;UNICA;5326
PRESIDENTE EPITÁCIO;UNICA;937
PRESIDENTE BERNARDES;UNICA;245
PRESIDENTE ALVES;UNICA;104
PRATÂNIA;UNICA;129
PRAIA GRANDE;UNICA;8359
PRADÓPOLIS;UNICA;689
PRACINHA;UNICA;11
POTIRENDABA;UNICA;511
POTIM;UNICA;549
PORTO FERREIRA;UNICA;1417
PORTO FELIZ;UNICA;1413
PORANGABA;UNICA;228
POPULINA;UNICA;86
PONTES GESTAL;UNICA;62
PONTALINDA;UNICA;112
PONTAL;UNICA;1668
PONGAÍ;UNICA;84
POMPÉIA;UNICA;554
POLONI;UNICA;203
POÁ;UNICA;3003
PLATINA;UNICA;77
PLANALTO;UNICA;139
PITANGUEIRAS;UNICA;1182
PIRATININGA;UNICA;346
PIRASSUNUNGA;UNICA;1727
PIRAPOZINHO;UNICA;577
PIRAPORA DO BOM JESUS;UNICA;456
PIRANGI;UNICA;285
PIRAJUÍ;UNICA;592
PIRAJU;UNICA;580
PIRACICABA;UNICA;11204
PIRACAIA;UNICA;759
PIQUETE;UNICA;353
PIQUEROBI;UNICA;56
PINHALZINHO;UNICA;406
PINDORAMA;UNICA;429
PINDAMONHANGABA;UNICA;4572
PILAR DO SUL;UNICA;728
PIEDADE;UNICA;1595
PIACATU;UNICA;140
PERUÍBE;UNICA;1413
PEREIRAS;UNICA;220
PEREIRA BARRETO;UNICA;585
PENÁPOLIS;UNICA;1345
PEDRO DE TOLEDO;UNICA;208
PEDRINHAS PAULISTA;UNICA;56
PEDREIRA;UNICA;1412
PEDREGULHO;UNICA;400
PEDRANÓPOLIS;UNICA;58
PEDRA BELA;UNICA;168
PEDERNEIRAS;UNICA;1243
PAULO DE FARIA;UNICA;201
PAULISTÂNIA;UNICA;53
PAULÍNIA;UNICA;3263
PAULICÉIA;UNICA;228
PATROCÍNIO PAULISTA;UNICA;332
PARISI;UNICA;45
PARIQUERA-AÇU;UNICA;388
PARDINHO;UNICA;167
PARAPUÃ;UNICA;243
PARANAPUÃ;UNICA;91
PARANAPANEMA;UNICA;542
PARAÍSO;UNICA;175
PARAIBUNA;UNICA;424
PARAGUAÇU PAULISTA;UNICA;1069
PANORAMA;UNICA;275
PALMITAL;UNICA;478
PALMEIRA D'OESTE;UNICA;203
PALMARES PAULISTA;UNICA;466
PALESTINA;UNICA;351
PACAEMBU;UNICA;298
OUROESTE;UNICA;278
OURO VERDE;UNICA;181
OURINHOS;UNICA;2259
OSVALDO CRUZ;UNICA;739
OSCAR BRESSANE;UNICA;49
OSASCO;UNICA;20030
ORLÂNDIA;UNICA;1259
ORINDIÚVA;UNICA;197
ORIENTE;UNICA;168
ONDA VERDE;UNICA;106
OLÍMPIA;UNICA;1480
ÓLEO;UNICA;59
OCAUÇU;UNICA;105
NUPORANGA;UNICA;180
NOVO HORIZONTE;UNICA;1051
NOVAIS;UNICA;146
NOVA ODESSA;UNICA;1789
NOVA LUZITÂNIA;UNICA;130
NOVA INDEPENDÊNCIA;UNICA;97
NOVA GUATAPORANGA;UNICA;35
NOVA GRANADA;UNICA;567
NOVA EUROPA;UNICA;304
NOVA CASTILHO;UNICA;20
NOVA CANAÃ PAULISTA;UNICA;25
NOVA CAMPINA;UNICA;227
NOVA ALIANÇA;UNICA;167
NIPOÃ;UNICA;169
NHANDEARA;UNICA;249
NEVES PAULISTA;UNICA;231
NAZARÉ PAULISTA;UNICA;482
NATIVIDADE DA SERRA;UNICA;148
NARANDIBA;UNICA;128
NANTES;UNICA;61
MURUTINGA DO SUL;UNICA;95
MOTUCA;UNICA;125
MORUNGABA;UNICA;402
MORRO AGUDO;UNICA;913
MONTEIRO LOBATO;UNICA;94
MONTE MOR;UNICA;1868
MONTE CASTELO;UNICA;115
MONTE AZUL PAULISTA;UNICA;352
MONTE APRAZÍVEL;UNICA;717
MONTE ALTO;UNICA;1184
MONTE ALEGRE DO SUL;UNICA;193
MONGAGUÁ;UNICA;1231
MONÇÕES;UNICA;53
MOMBUCA;UNICA;74
MOGI MIRIM;UNICA;2501
MOGI GUAÇU;UNICA;4183
MOGI DAS CRUZES;UNICA;11034
MOCOCA;UNICA;1743
MIRASSOLÂNDIA;UNICA;125
MIRASSOL;UNICA;1720
MIRANTE DO PARANAPANEMA;UNICA;415
MIRANDÓPOLIS;UNICA;556
MIRACATU;UNICA;427
MIRA ESTRELA;UNICA;69
MINEIROS DO TIETÊ;UNICA;317
MIGUELÓPOLIS;UNICA;642
MESÓPOLIS;UNICA;39
MERIDIANO;UNICA;97
MENDONÇA;UNICA;120
MAUÁ;UNICA;13203
MATÃO;UNICA;2283
MARTINÓPOLIS;UNICA;566
MARINÓPOLIS;UNICA;42
MARÍLIA;UNICA;4627
MARIÁPOLIS;UNICA;112
MARAPOAMA;UNICA;74
MARACAÍ;UNICA;293
MARABÁ PAULISTA;UNICA;64
MANDURI;UNICA;250
MAIRIPORÃ;UNICA;2545
MAIRINQUE;UNICA;1258
MAGDA;UNICA;70
MACEDÔNIA;UNICA;80
MACAUBAL;UNICA;212
MACATUBA;UNICA;482
LUTÉCIA;UNICA;56
LUPÉRCIO;UNICA;109
LUIZIÂNIA;UNICA;121
LUÍS ANTÔNIO;UNICA;439
LUCIANÓPOLIS;UNICA;48
LUCÉLIA;UNICA;599
LOUVEIRA;UNICA;1786
LOURDES;UNICA;47
LORENA;UNICA;2176
LINS;UNICA;1829
LINDÓIA;UNICA;226
LIMEIRA;UNICA;8732
LENÇÓIS PAULISTA;UNICA;1897
LEME;UNICA;2747
LAVRINHAS;UNICA;189
LAVÍNIA;UNICA;129
LARANJAL PAULISTA;UNICA;652
LAGOINHA;UNICA;91
JUQUITIBA;UNICA;751
JUQUIÁ;UNICA;408
JUNQUEIRÓPOLIS;UNICA;455
JUNDIAÍ;UNICA;12664
JUMIRIM;UNICA;101
JÚLIO MESQUITA;UNICA;122
JOSÉ BONIFÁCIO;UNICA;1033
JOÃO RAMALHO;UNICA;120
JOANÓPOLIS;UNICA;392
JERIQUARA;UNICA;76
JAÚ;UNICA;3892
JARINU;UNICA;892
JARDINÓPOLIS;UNICA;1201
JANDIRA;UNICA;3616
JAMBEIRO;UNICA;190
JALES;UNICA;989
JAGUARIÚNA;UNICA;1674
JACUPIRANGA;UNICA;403
JACI;UNICA;190
JACAREÍ;UNICA;5936
JABOTICABAL;UNICA;1805
JABORANDI;UNICA;177
ITUVERAVA;UNICA;1092
ITUPEVA;UNICA;1929
ITU;UNICA;5253
ITOBI;UNICA;207
ITIRAPUÃ;UNICA;164
ITIRAPINA;UNICA;408
ITATINGA;UNICA;547
ITATIBA;UNICA;3492
ITARIRI;UNICA;414
ITARARÉ;UNICA;1184
ITAQUAQUECETUBA;UNICA;10195
ITAPURA;UNICA;76
ITAPUÍ;UNICA;397
ITAPORANGA;UNICA;320
ITÁPOLIS;UNICA;1088
ITAPIRAPUÃ PAULISTA;UNICA;89
ITAPIRA;UNICA;1895
ITAPEVI;UNICA;7126
ITAPEVA;UNICA;2138
ITAPETININGA;UNICA;3043
ITAPECERICA DA SERRA;UNICA;4307
ITAOCA;UNICA;54
ITANHAÉM;UNICA;2538
ITAJU;UNICA;103
ITAJOBI;UNICA;361
ITAÍ;UNICA;721
ITABERÁ;UNICA;371
IRAPURU;UNICA;81
IRAPUÃ;UNICA;231
IRACEMÁPOLIS;UNICA;722
IPUÃ;UNICA;447
IPORANGA;UNICA;32
IPIGUÁ;UNICA;120
IPEÚNA;UNICA;189
IPERÓ;UNICA;1048
IPAUSSU;UNICA;389
INÚBIA PAULISTA;UNICA;92
INDIAPORÃ;UNICA;91
INDIANA;UNICA;114
INDAIATUBA;UNICA;7051
ILHABELA;UNICA;879
ILHA SOLTEIRA;UNICA;518
ILHA COMPRIDA;UNICA;202
IGUAPE;UNICA;607
IGARATÁ;UNICA;248
IGARAPAVA;UNICA;793
IGARAÇU DO TIETÊ;UNICA;762
IEPÊ;UNICA;186
ICÉM;UNICA;238
IBIÚNA;UNICA;2176
IBITINGA;UNICA;1731
IBIRAREMA;UNICA;165
IBIRÁ;UNICA;343
IBATÉ;UNICA;1034
IARAS;UNICA;211
IACRI;UNICA;146
IACANGA;UNICA;387
HORTOLÂNDIA;UNICA;7504
HOLAMBRA;UNICA;416
HERCULÂNDIA;UNICA;234
GUZOLÂNDIA;UNICA;115
GUATAPARÁ;UNICA;226
GUARULHOS;UNICA;40547
GUARUJÁ;UNICA;8724
GUARIBA;UNICA;1185
GUAREÍ;UNICA;439
GUARATINGUETÁ;UNICA;3219
GUARAREMA;UNICA;879
GUARARAPES;UNICA;838
GUARANTÃ;UNICA;190
GUARANI D'OESTE;UNICA;31
GUARACI;UNICA;318
GUARAÇAÍ;UNICA;197
GUARÁ;UNICA;509
GUAPIARA;UNICA;397
GUAPIAÇU;UNICA;600
GUAÍRA;UNICA;1069
GUAIMBÊ;UNICA;133
GUAIÇARA;UNICA;346
GLICÉRIO;UNICA;130
GETULINA;UNICA;268
GENERAL SALGADO;UNICA;247
GAVIÃO PEIXOTO;UNICA;143
GASTÃO VIDIGAL;UNICA;151
GARÇA;UNICA;1023
GÁLIA;UNICA;146
GABRIEL MONTEIRO;UNICA;64
FRANCO DA ROCHA;UNICA;7339
FRANCISCO MORATO;UNICA;4624
FRANCA;UNICA;9102
FLORÍNEA;UNICA;36
FLÓRIDA PAULISTA;UNICA;298
FLOREAL;UNICA;50
FLORA RICA;UNICA;19
FERRAZ DE VASCONCELOS;UNICA;5398
FERNÃO;UNICA;34
FERNANDÓPOLIS;UNICA;1529
FERNANDO PRESTES;UNICA;134
FARTURA;UNICA;403
EUCLIDES DA CUNHA PAULISTA;UNICA;214
ESTRELA DO NORTE;UNICA;48
ESTRELA D'OESTE;UNICA;218
ESTIVA GERBI;UNICA;334
ESPÍRITO SANTO DO TURVO;UNICA;110
ESPÍRITO SANTO DO PINHAL;UNICA;1031
ENGENHEIRO COELHO;UNICA;658
EMILIANÓPOLIS;UNICA;72
EMBU-GUAÇU;UNICA;1475
EMBU DAS ARTES;UNICA;7412
EMBAÚBA;UNICA;62
ELISIÁRIO;UNICA;105
ELIAS FAUSTO;UNICA;546
ELDORADO;UNICA;194
ECHAPORÃ;UNICA;139
DUMONT;UNICA;296
DUARTINA;UNICA;319
DRACENA;UNICA;928
DOURADO;UNICA;224
DOLCINÓPOLIS;UNICA;54
DOIS CÓRREGOS;UNICA;714
DOBRADA;UNICA;302
DIVINOLÂNDIA;UNICA;239
DIRCE REIS;UNICA;18
DIADEMA;UNICA;11140
DESCALVADO;UNICA;1012
CUNHA;UNICA;489
CUBATÃO;UNICA;3382
CRUZEIRO;UNICA;2086
CRUZÁLIA;UNICA;36
CRISTAIS PAULISTA;UNICA;215
CRAVINHOS;UNICA;1063
COTIA;UNICA;6340
COSMORAMA;UNICA;177
COSMÓPOLIS;UNICA;2109
CORUMBATAÍ;UNICA;92
CORONEL MACEDO;UNICA;108
COROADOS;UNICA;151
CORDEIRÓPOLIS;UNICA;686
CONCHAS;UNICA;399
CONCHAL;UNICA;742
COLÔMBIA;UNICA;165
COLINA;UNICA;511
CLEMENTINA;UNICA;268
CHAVANTES;UNICA;325
CHARQUEADA;UNICA;523
CESÁRIO LANGE;UNICA;629
CERQUILHO;UNICA;1362
CERQUEIRA CÉSAR;UNICA;602
CEDRAL;UNICA;239
CATIGUÁ;UNICA;190
CATANDUVA;UNICA;2923
CASTILHO;UNICA;607
CÁSSIA DOS COQUEIROS;UNICA;52
CASA BRANCA;UNICA;787
CARDOSO;UNICA;273
CARAPICUÍBA;UNICA;11150
CARAGUATATUBA;UNICA;3037
CAPIVARI;UNICA;1480
CAPELA DO ALTO;UNICA;599
CAPÃO BONITO;UNICA;1104
CANITAR;UNICA;150
CÂNDIDO RODRIGUES;UNICA;62
CÂNDIDO MOTA;UNICA;653
CANAS;UNICA;131
CANANÉIA;UNICA;280
CAMPOS NOVOS PAULISTA;UNICA;111
CAMPOS DO JORDÃO;UNICA;1405
CAMPO LIMPO PAULISTA;UNICA;2374
CAMPINAS;UNICA;34018
CAMPINA DO MONTE ALEGRE;UNICA;136
CAJURU;UNICA;584
CAJOBI;UNICA;274
CAJATI;UNICA;773
CAJAMAR;UNICA;2781
CAIUÁ;UNICA;85
CAIEIRAS;UNICA;2872
CAIABU;UNICA;60
CAFELÂNDIA;UNICA;425
CACONDE;UNICA;410
CACHOEIRA PAULISTA;UNICA;977
CAÇAPAVA;UNICA;2485
CABREÚVA;UNICA;1489
CABRÁLIA PAULISTA;UNICA;104
BURITIZAL;UNICA;100
BURITAMA;UNICA;448
BURI;UNICA;506
BROTAS;UNICA;621
BRODOWSKI;UNICA;660
BREJO ALEGRE;UNICA;74
BRAÚNA;UNICA;141
BRAGANÇA PAULISTA;UNICA;4802
BOTUCATU;UNICA;3
BOREBI;UNICA;51
BORBOREMA;UNICA;411
BORACÉIA;UNICA;110
BORÁ;UNICA;13
BOM SUCESSO DE ITARARÉ;UNICA;79
BOM JESUS DOS PERDÕES;UNICA;744
BOITUVA;UNICA;1866
BOFETE;UNICA;298
BOCAINA;UNICA;321
BOA ESPERANÇA DO SUL;UNICA;420
BIRITIBA MIRIM;UNICA;884
BIRIGUI;UNICA;3557
BILAC;UNICA;202
BERTIOGA;UNICA;1894
BERNARDINO DE CAMPOS;UNICA;214
BENTO DE ABREU;UNICA;73
BEBEDOURO;UNICA;1740
BAURU;UNICA;9233
BATATAIS;UNICA;1450
BASTOS;UNICA;494
BARUERI;UNICA;6826
BARRINHA;UNICA;979
BARRETOS;UNICA;3076
BARRA DO TURVO;UNICA;115
BARRA DO CHAPÉU;UNICA;137
BARRA BONITA;UNICA;983
BARIRI;UNICA;840
BARBOSA;UNICA;121
BARÃO DE ANTONINA;UNICA;47
BANANAL;UNICA;279
BÁLSAMO;UNICA;247
BALBINOS;UNICA;60
BADY BASSITT;UNICA;410
AVARÉ;UNICA;2196
AVANHANDAVA;UNICA;231
AVAÍ;UNICA;58
AURIFLAMA;UNICA;378
ATIBAIA;UNICA;3588
ASSIS;UNICA;2364
ASPÁSIA;UNICA;16
ARUJÁ;UNICA;2339
ARTUR NOGUEIRA;UNICA;1678
ARIRANHA;UNICA;262
AREIÓPOLIS;UNICA;319
AREIAS;UNICA;72
AREALVA;UNICA;195
ARCO-ÍRIS;UNICA;34
ARARAS;UNICA;3852
ARARAQUARA;UNICA;6458
ARAPEÍ;UNICA;67
ARANDU;UNICA;165
ARAMINA;UNICA;136
ARAÇOIABA DA SERRA;UNICA;836
ARAÇATUBA;UNICA;5065
ARAÇARIGUAMA;UNICA;593
APIAÍ;UNICA;552
APARECIDA D'OESTE;UNICA;82
APARECIDA;UNICA;970
ANHUMAS;UNICA;84
ANHEMBI;UNICA;149
ANGATUBA;UNICA;530
ANDRADINA;UNICA;1365
ANALÂNDIA;UNICA;133
AMPARO;UNICA;1788
AMÉRICO DE CAMPOS;UNICA;141
AMÉRICO BRASILIENSE;UNICA;1152
AMERICANA;UNICA;6498
ALVINLÂNDIA;UNICA;69
ÁLVARO DE CARVALHO;UNICA;162
ÁLVARES MACHADO;UNICA;609
ÁLVARES FLORENCE;UNICA;83
ALUMÍNIO;UNICA;512
ALTO ALEGRE;UNICA;101
ALTINÓPOLIS;UNICA;399
ALTAIR;UNICA;116
ALFREDO MARCONDES;UNICA;85
ALAMBARI;UNICA;175
AGUDOS;UNICA;880
ÁGUAS DE SÃO PEDRO;UNICA;65
ÁGUAS DE SANTA BÁRBARA;UNICA;140
ÁGUAS DE LINDÓIA;UNICA;487
ÁGUAS DA PRATA;UNICA;197
AGUAÍ;UNICA;1064
ADOLFO;UNICA;83
ADAMANTINA;UNICA;881
ZACARIAS;ADICIONAL;1846
VOTUPORANGA;ADICIONAL;61198
VOTORANTIM;ADICIONAL;65232
VITÓRIA BRASIL;ADICIONAL;1165
VISTA ALEGRE DO ALTO;ADICIONAL;4957
VIRADOURO;ADICIONAL;12986
VINHEDO;ADICIONAL;45820
VERA CRUZ;ADICIONAL;6335
VÁRZEA PAULISTA;ADICIONAL;51024
VARGEM GRANDE PAULISTA;ADICIONAL;27438
VARGEM GRANDE DO SUL;ADICIONAL;28322
VARGEM;ADICIONAL;6164
VALPARAÍSO;ADICIONAL;16081
VALINHOS;ADICIONAL;71499
VALENTIM GENTIL;ADICIONAL;8594
URUPÊS;ADICIONAL;9965
URU;ADICIONAL;1389
URÂNIA;ADICIONAL;5915
UNIÃO PAULISTA;ADICIONAL;1104
UCHOA;ADICIONAL;7489
UBIRAJARA;ADICIONAL;2477
UBATUBA;ADICIONAL;40147
UBARANA;ADICIONAL;3687
TURMALINA;ADICIONAL;1996
TURIÚBA;ADICIONAL;1580
TUPI PAULISTA;ADICIONAL;11039
TUPÃ;ADICIONAL;41206
TUIUTI;ADICIONAL;4720
TRÊS FRONTEIRAS;ADICIONAL;4442
TREMEMBÉ;ADICIONAL;32112
TRABIJU;ADICIONAL;1228
TORRINHA;ADICIONAL;6607
TORRE DE PEDRA;ADICIONAL;1927
TIMBURI;ADICIONAL;2443
TIETÊ;ADICIONAL;25314
TERRA ROXA;ADICIONAL;5676
TEODORO SAMPAIO;ADICIONAL;14518
TEJUPÁ;ADICIONAL;2164
TAUBATÉ;ADICIONAL;182374
TATUÍ;ADICIONAL;72019
TARUMÃ;ADICIONAL;8336
TARABAI;ADICIONAL;4524
TAQUARIVAÍ;ADICIONAL;4256
TAQUARITUBA;ADICIONAL;19050
TAQUARITINGA;ADICIONAL;38337
TAQUARAL;ADICIONAL;2423
TAPIRATIBA;ADICIONAL;9408
TAPIRAÍ;ADICIONAL;5153
TANABI;ADICIONAL;17816
TAMBAÚ;ADICIONAL;13344
TAIÚVA;ADICIONAL;5703
TAIAÇU;ADICIONAL;4921
TAGUAÍ;ADICIONAL;8700
TACIBA;ADICIONAL;3486
TABOÃO DA SERRA;ADICIONAL;150774
TABATINGA;ADICIONAL;9766
TABAPUÃ;ADICIONAL;8152
SUZANO;ADICIONAL;168855
SUZANÁPOLIS;ADICIONAL;2419
SUMARÉ;ADICIONAL;134097
SUD MENNUCCI;ADICIONAL;5328
SOROCABA;ADICIONAL;394511
SOCORRO;ADICIONAL;25409
SILVEIRAS;ADICIONAL;4815
SEVERÍNIA;ADICIONAL;10361
SETE BARRAS;ADICIONAL;6679
SERTÃOZINHO;ADICIONAL;81074
SERRANA;ADICIONAL;29760
SERRA NEGRA;ADICIONAL;19062
SERRA AZUL;ADICIONAL;9045
SEBASTIANÓPOLIS DO SUL;ADICIONAL;3365
SARUTAIÁ;ADICIONAL;2685
SARAPUÍ;ADICIONAL;6030
SÃO VICENTE;ADICIONAL;188188
SÃO SIMÃO;ADICIONAL;9597
SÃO SEBASTIÃO DA GRAMA;ADICIONAL;8058
SÃO SEBASTIÃO;ADICIONAL;38200
SÃO ROQUE;ADICIONAL;52278
SÃO PEDRO DO TURVO;ADICIONAL;4408
SÃO PEDRO;ADICIONAL;21583
SÃO PAULO;ADICIONAL;8268552
SÃO MIGUEL ARCANJO;ADICIONAL;21242
SÃO MANUEL;ADICIONAL;24863
SÃO LUIZ DO PARAITINGA;ADICIONAL;9273
SÃO LOURENÇO DA SERRA;ADICIONAL;8980
SÃO JOSÉ DOS CAMPOS;ADICIONAL;410853
SÃO JOSÉ DO RIO PRETO;ADICIONAL;300775
SÃO JOSÉ DO RIO PARDO;ADICIONAL;36723
SÃO JOSÉ DO BARREIRO;ADICIONAL;2587
SÃO JOSÉ DA BELA VISTA;ADICIONAL;4744
SÃO JOAQUIM DA BARRA;ADICIONAL;31070
SÃO JOÃO DO PAU D'ALHO;ADICIONAL;1589
SÃO JOÃO DE IRACEMA;ADICIONAL;1580
SÃO JOÃO DAS DUAS PONTES;ADICIONAL;1936
SÃO JOÃO DA BOA VISTA;ADICIONAL;60638
SÃO FRANCISCO;ADICIONAL;2765
SÃO CARLOS;ADICIONAL;168800
SÃO CAETANO DO SUL;ADICIONAL;126065
SÃO BERNARDO DO CAMPO;ADICIONAL;544308
SÃO BENTO DO SAPUCAÍ;ADICIONAL;8015
SANTOS;ADICIONAL;285353
SANTÓPOLIS DO AGUAPEÍ;ADICIONAL;2901
SANTO EXPEDITO;ADICIONAL;1999
SANTO ANTÔNIO DO PINHAL;ADICIONAL;4403
SANTO ANTÔNIO DO JARDIM;ADICIONAL;4254
SANTO ANTÔNIO DO ARACANGUÁ;ADICIONAL;5418
SANTO ANTÔNIO DE POSSE;ADICIONAL;12344
SANTO ANTÔNIO DA ALEGRIA;ADICIONAL;5832
SANTO ANDRÉ;ADICIONAL;480173
SANTO ANASTÁCIO;ADICIONAL;11617
SANTANA DE PARNAÍBA;ADICIONAL;99528
SANTANA DA PONTE PENSA;ADICIONAL;1501
SANTA SALETE;ADICIONAL;1492
SANTA ROSA DE VITERBO;ADICIONAL;17127
SANTA RITA DO PASSA QUATRO;ADICIONAL;19040
SANTA RITA D'OESTE;ADICIONAL;2081
SANTA MERCEDES;ADICIONAL;2101
SANTA MARIA DA SERRA;ADICIONAL;3144
